Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LOOP,Chrome 109.0.0.0,,,2023-01-19 14:59:43,2023-01-19 15:00:15,32.623s,PASSED
,,,,,,,
Test Cases/TC_Submit_data_random/TC_1,Chrome 109.0.0.0,,,2023-01-19 14:59:43,2023-01-19 15:00:01,17.793s,PASSED
faker = new com.github.javafaker.Faker(new java.util.Locale(id-ID)),Chrome 109.0.0.0,,,2023-01-19 14:59:44,2023-01-19 14:59:44,0.054s,PASSED
name = name().username(),Chrome 109.0.0.0,,,2023-01-19 14:59:44,2023-01-19 14:59:45,0.347s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-19 14:59:45,2023-01-19 14:59:50,4.818s,PASSED
"for ([i = 1, i < 2, (i++)])",Chrome 109.0.0.0,,,2023-01-19 14:59:50,2023-01-19 15:00:01,11.433s,PASSED
,,,,,,,
Test Cases/TC_Submit_data_random/TC_1,Chrome 109.0.0.0,,,2023-01-19 15:00:01,2023-01-19 15:00:15,14.141s,PASSED
faker = new com.github.javafaker.Faker(new java.util.Locale(id-ID)),Chrome 109.0.0.0,,,2023-01-19 15:00:01,2023-01-19 15:00:01,0.002s,PASSED
name = name().username(),Chrome 109.0.0.0,,,2023-01-19 15:00:01,2023-01-19 15:00:01,0.048s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-19 15:00:01,2023-01-19 15:00:04,3.185s,PASSED
"for ([i = 1, i < 2, (i++)])",Chrome 109.0.0.0,,,2023-01-19 15:00:04,2023-01-19 15:00:15,10.861s,PASSED
